n_target,n_actual,seed,model_name,r2,rmse
100,100,8,CNN1D-shallow,0.07676889487580274,2.649986760842099
200,200,8,PGSGv2,0.46414984271495097,2.018878445992954
200,200,8,PGSGv2-random,0.35227359970046834,2.2196489279973517
200,200,8,PLS,0.46675683843141047,2.013961376740433
200,200,8,MLP,0.11611466357387701,2.5929041015205363
200,200,8,CNN1D-shallow,0.29692724023964845,2.312536659007485
400,400,8,PGSGv2,0.5154417721527202,1.9198242642872694
400,400,8,PGSGv2-random,0.5523699147341126,1.8452198762716947
400,400,8,PLS,0.5413148167985744,1.8678665548385138
400,400,8,MLP,0.5162970496367802,1.9181292072596607
400,400,8,CNN1D-shallow,0.47155955930147353,2.0048713660296027
700,700,8,PGSGv2,0.7261967749792166,1.4431376919941665
700,700,8,PGSGv2-random,0.7323445092788957,1.4268442474824616
700,700,8,PLS,0.5722868297964661,1.8037020622620341
700,700,8,MLP,0.6252218718112315,1.6884010325398222
700,700,8,CNN1D-shallow,0.5085805461091805,1.9333686077902401
